rhythm_id;species;country;sampling;site;17:00_18:00;18:00_19:00;19:00_20:00;20:00_21:00;21:00_22:00;22:00_23:00;23:00_00:00;00:00_01:00;01:00_02:00;02:00_03:00;03:00_04:00;04:00_05:00;05:00_06:00;06:00_07:00;comments;source_id;pubmed_id;citation
56;Anopheles gambiae;Kenya;HBO;Kisumu;NA;0.002747253;0.052197802;0.126373626;0.098901099;0.071428571;0.07967033;0.071428571;0.123626374;0.112637363;0.082417582;0.101648352;0.076923077;NA;;5781;23396849;"Huho B, Briet O, Seyoum A, Sikaala C, Bayoh N, Gimnig J, et al. Consistently high estimates for the proportion of human exposure to malaria vector populations occurring indoors in rural Africa. Int J Epidemiol. 2013;42(1):235-47."
58;Anopheles gambiae;Tanzania;HBO;Lupiro;NA;0;0;0.018110408;0.090988436;0.054549422;0.109098844;0.127209252;0.090988436;0.218197687;0.200087279;0.07265983;0.018110408;NA;;5781;23396849;"Huho B, Briet O, Seyoum A, Sikaala C, Bayoh N, Gimnig J, et al. Consistently high estimates for the proportion of human exposure to malaria vector populations occurring indoors in rural Africa. Int J Epidemiol. 2013;42(1):235-47."
32;Anopheles vagus;Indonesia;HB;WTimor;NA;0.074725275;0.057142857;0.105494505;0.103296703;0.202197802;0.112087912;0.063736264;0.18021978;0.054945055;0.024175824;0.004395604;0.017582418;NA;;9011;20846447;"Ndoen E, Wild C, Dale P, Sipe N, Dale M. Dusk to dawn activity patterns of anopheline mosquitoes in West Timor and Java, Indonesia. Southeast Asian J Trop Med Public Health. 2011;42(3):550-61."
33;Anopheles barbirostris;Indonesia;HB;pooled;NA;0.035242291;0.072687225;0.079295154;0.085903084;0.09030837;0.085903084;0.145374449;0.22907489;0.050660793;0.044052863;0.066079295;0.015418502;NA;;9011;20846447;"Ndoen E, Wild C, Dale P, Sipe N, Dale M. Dusk to dawn activity patterns of anopheline mosquitoes in West Timor and Java, Indonesia. Southeast Asian J Trop Med Public Health. 2011;42(3):550-61."
34;Anopheles vagus;Indonesia;HB;Java;NA;0;0.022922636;0.034383954;0.163323782;0.005730659;0;0;0.148997135;0.289398281;0.189111748;0.040114613;0.106017192;NA;;9011;20846447;"Ndoen E, Wild C, Dale P, Sipe N, Dale M. Dusk to dawn activity patterns of anopheline mosquitoes in West Timor and Java, Indonesia. Southeast Asian J Trop Med Public Health. 2011;42(3):550-61."
35;Anopheles subpictus;Indonesia;HB;pooled;NA;0.005;0.033333333;0.131666667;0.158333333;0.165;0.101666667;0.125;0.14;0.093333333;0.016666667;0;0.03;NA;;9011;20846447;"Ndoen E, Wild C, Dale P, Sipe N, Dale M. Dusk to dawn activity patterns of anopheline mosquitoes in West Timor and Java, Indonesia. Southeast Asian J Trop Med Public Health. 2011;42(3):550-61."
36;Anopheles aconitus;Indonesia;HB;pooled;NA;0.101152369;0.089628681;0.081946223;0.112676056;0.124199744;0.09603073;0.039692702;0.09731114;0.092189501;0.078104994;0.04865557;0.038412292;NA;;9011;20846447;"Ndoen E, Wild C, Dale P, Sipe N, Dale M. Dusk to dawn activity patterns of anopheline mosquitoes in West Timor and Java, Indonesia. Southeast Asian J Trop Med Public Health. 2011;42(3):550-61."
1;Anopheles philippinensis;India;HBI;Assam;NA;0.015037594;0.015037594;0.210526316;0.030075188;0.090225564;0.30075188;0.180451128;0.060150376;0.060150376;0.030075188;0.007518797;NA;NA;;1935;8653817;"Dev V. Anopheles minimus: Its bionomics and role in the transmission of malaria in Assam, India. Bulletin of the World Health Organization. 1996;74(1):61-6."
2;Anopheles minimus;India;HBI;Assam;NA;0.002024291;0.002024291;0.008097166;0.097165992;0.113360324;0.129554656;0.056680162;0.20242915;0.20242915;0.145748988;0.04048583;NA;NA;;1935;8653817;"Dev V. Anopheles minimus: Its bionomics and role in the transmission of malaria in Assam, India. Bulletin of the World Health Organization. 1996;74(1):61-6."
3;Anopheles longirostris;PNG;HBI;Wosera;NA;0.105140001;0.153249156;0.115659744;0.105057601;0.082824571;0.059617365;0.073251171;0.088603026;0.059617365;0.051083052;0.052927751;0.052969197;NA;;2299;10996862;"Hii JL, Smith T, Mai A, Ibam E, Alpers MP. Comparison between anopheline mosquitoes (Diptera: Culicidae) caught using different methods in a malaria endemic area of Papua New Guinea. Bull Entomol Res. 2000;90(3):211-9"
5;Anopheles farauti;PNG;HBI;Wosera;NA;0.109539478;0.122060858;0.116330302;0.088250577;0.086463645;0.093760692;0.077935569;0.067567615;0.06689025;0.053294175;0.064081791;0.053825048;NA;;2299;10996862;"Hii JL, Smith T, Mai A, Ibam E, Alpers MP. Comparison between anopheline mosquitoes (Diptera: Culicidae) caught using different methods in a malaria endemic area of Papua New Guinea. Bull Entomol Res. 2000;90(3):211-9"
7;Anopheles karwari;PNG;HBI;Wosera;NA;0.032913034;0.031041529;0.03607529;0.041444635;0.05448971;0.07449232;0.094634712;0.123398235;0.131073004;0.142119859;0.122296504;0.116021168;NA;;2299;10996862;"Hii JL, Smith T, Mai A, Ibam E, Alpers MP. Comparison between anopheline mosquitoes (Diptera: Culicidae) caught using different methods in a malaria endemic area of Papua New Guinea. Bull Entomol Res. 2000;90(3):211-9"
9;Anopheles punctulatus;PNG;HBI;Wosera;NA;0.028374148;0.015797054;0.018418393;0.026834291;0.042322247;0.066962792;0.104922783;0.131033542;0.142046459;0.142863303;0.146841088;0.1335839;NA;;2299;10996862;"Hii JL, Smith T, Mai A, Ibam E, Alpers MP. Comparison between anopheline mosquitoes (Diptera: Culicidae) caught using different methods in a malaria endemic area of Papua New Guinea. Bull Entomol Res. 2000;90(3):211-9"
10;Anopheles koliensis;PNG;HBI;Wosera;NA;0.026973878;0.027072264;0.027371075;0.038905172;0.047055713;0.066836252;0.089404203;0.109458274;0.119065117;0.140202045;0.14941028;0.158245727;NA;;2299;10996862;"Hii JL, Smith T, Mai A, Ibam E, Alpers MP. Comparison between anopheline mosquitoes (Diptera: Culicidae) caught using different methods in a malaria endemic area of Papua New Guinea. Bull Entomol Res. 2000;90(3):211-9"
38;Anopheles epiroticus;Thailand;HBI;Chang Island;NA;0.070818071;0.113553114;0.074481074;0.06959707;0.091575092;0.035409035;0.054945055;0.135531136;0.084249084;0.124542125;0.11965812;0.025641026;NA;;9024;25424266;"Ritthison W, Tainchum K, Manguin S, Bangs MJ, Chareonviriyaphap T. Biting patterns and host preference of Anopheles epiroticus in Chang Island, Trat Province, eastern Thailand. J Vector Ecol. 2014;39(2):361-71."
40;Anopheles culicifacies;India;HBI;Dungaria;NA;0.013057671;0.042981502;0.053318825;0.071273123;0.113166485;0.153427639;0.110446137;0.119151251;0.124047878;0.095212187;0.09031556;0.013601741;NA;monsoon;9025;10480116;"Singh N, Mishra AK, Chand SK, Sharma VP. Population dynamics of Anopheles culicifacies and malaria in the tribal area of central India. J Am Mosq Control Assoc. 1999;15(3):283-90."
42;Anopheles culicifacies;India;HBI;Dungaria;NA;0.04643715;0.100880705;0.159327462;0.088070456;0.059247398;0.072057646;0.071257006;0.100080064;0.129703763;0.115292234;0.057646117;0;NA;summer;9025;10480116;"Singh N, Mishra AK, Chand SK, Sharma VP. Population dynamics of Anopheles culicifacies and malaria in the tribal area of central India. J Am Mosq Control Assoc. 1999;15(3):283-90."
44;Anopheles albimanus;Haiti;HBI;Dame Marie ;NA;0.11;0.105;0.11;0.05;0.065;0.085;0.04;0.06;0.015;0.06;0.085;0.09;0.125;;9026;NA;Briet, Impoinvil et al submitted
46;Anopheles albimanus;Haiti;HBI;Laborde;NA;0.033783784;0.033783784;0.02027027;0.047297297;0.040540541;0.027027027;0.081081081;0.128378378;0.155405405;0.162162162;0.121621622;0.108108108;0.040540541;;9019;9846229;"Molez JF, Desenfant P, Jacques JR. Bio-ecology of Anopheles albimanus Wiedeman, 1820 (Diptera : Culicidae) in Haiti (Hispaniola). Bulletin de la Societe de Pathologie Exotique. 1998;91(4):334-9."
48;Anopheles albimanus;Haiti;HBI;Bellevue;0.006217277;0.063808901;0.068390052;0.099803665;0.091623037;0.102748691;0.180955497;0.089005236;0.096531414;0.079515707;0.054319372;0.051374346;0.015706806;NA;;9027;NA;"Desenfant P. Rôle et bioécologie de A. albimanus (Wiedemann, 1820) vecteur du paludisme en Haiti: Université de Paris-Sud; 1988."
50;Anopheles albimanus;Haiti;HBI;EM48;0.009394964;0.054866592;0.069898534;0.116497557;0.125892522;0.100338219;0.172115746;0.096956032;0.102217212;0.062006764;0.043968433;0.04208944;0.003757986;NA;;9027;NA;"Desenfant P. Rôle et bioécologie de A. albimanus (Wiedemann, 1820) vecteur du paludisme en Haiti: Université de Paris-Sud; 1988."
52;Anopheles albimanus;Haiti;HBI;Laborde;0.019337017;0.044198895;0.085635359;0.104972376;0.099447514;0.104972376;0.116022099;0.11878453;0.11878453;0.077348066;0.060773481;0.038674033;0.011049724;NA;;9027;NA;"Desenfant P. Rôle et bioécologie de A. albimanus (Wiedemann, 1820) vecteur du paludisme en Haiti: Université de Paris-Sud; 1988."
4;Anopheles longirostris;PNG;HBO;Wosera;NA;0.094815241;0.211773356;0.154467214;0.096850668;0.101173623;0.074897895;0.054671462;0.042765229;0.050980924;0.040878528;0.031445026;0.045280835;NA;;2299;10996862;"Hii JL, Smith T, Mai A, Ibam E, Alpers MP. Comparison between anopheline mosquitoes (Diptera: Culicidae) caught using different methods in a malaria endemic area of Papua New Guinea. Bull Entomol Res. 2000;90(3):211-9"
6;Anopheles farauti;PNG;HBO;Wosera;NA;0.095753647;0.206176871;0.144666763;0.108774062;0.077575602;0.070633988;0.059322523;0.051065686;0.045288851;0.053556693;0.044422995;0.042762319;NA;;2299;10996862;"Hii JL, Smith T, Mai A, Ibam E, Alpers MP. Comparison between anopheline mosquitoes (Diptera: Culicidae) caught using different methods in a malaria endemic area of Papua New Guinea. Bull Entomol Res. 2000;90(3):211-9"
8;Anopheles karwari;PNG;HBO;Wosera;NA;0.030291527;0.019027667;0.020785143;0.035664512;0.048214172;0.062502262;0.112230984;0.133782266;0.144223568;0.1357188;0.133136753;0.124422348;NA;;2299;10996862;"Hii JL, Smith T, Mai A, Ibam E, Alpers MP. Comparison between anopheline mosquitoes (Diptera: Culicidae) caught using different methods in a malaria endemic area of Papua New Guinea. Bull Entomol Res. 2000;90(3):211-9"
11;Anopheles punctulatus;PNG;HBO;Wosera;NA;0.035343571;0.013480452;0.024436535;0.029907094;0.051118347;0.069837989;0.107783959;0.141715445;0.13680838;0.14040216;0.134134202;0.115031867;NA;;2299;10996862;"Hii JL, Smith T, Mai A, Ibam E, Alpers MP. Comparison between anopheline mosquitoes (Diptera: Culicidae) caught using different methods in a malaria endemic area of Papua New Guinea. Bull Entomol Res. 2000;90(3):211-9"
12;Anopheles koliensis;PNG;HBO;Wosera;NA;0.031494225;0.030952018;0.032966975;0.04532978;0.053400732;0.063761325;0.091042015;0.112388348;0.123548211;0.137974994;0.140981848;0.136159529;NA;;2299;10996862;"Hii JL, Smith T, Mai A, Ibam E, Alpers MP. Comparison between anopheline mosquitoes (Diptera: Culicidae) caught using different methods in a malaria endemic area of Papua New Guinea. Bull Entomol Res. 2000;90(3):211-9"
13;Anopheles harrisoni;Vietnam;HBO;Hang Chuon;NA;0.177083333;0.135416667;0.072916667;0.041666667;0.104166667;0.041666667;0;0.09375;0.0625;0.041666667;0.114583333;0.114583333;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
14;Anopheles dirus;Vietnam;HBO;Hang Chuon;NA;0.085820896;0.108208955;0.149253731;0.074626866;0.111940299;0.029850746;0.089552239;0.089552239;0.097014925;0.089552239;0.02238806;0.052238806;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
15;Anopheles aconitus;Vietnam;HBO;Khe Ngang;NA;0.044776119;0.085820896;0.093283582;0.138059701;0.175373134;0.070895522;0.078358209;0.111940299;0.078358209;0.052238806;0.03358209;0.037313433;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
16;Anopheles maculatus;Vietnam;HBO;Hang Chuon;NA;0.336601307;0.137254902;0.088235294;0.058823529;0.026143791;0.009803922;0.035947712;0.065359477;0.035947712;0.029411765;0.04248366;0.133986928;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
17;Anopheles sawadwongporni;Vietnam;HBO;Hang Chuon;NA;0.19874477;0.131799163;0.092050209;0.079497908;0.066945607;0.054393305;0.071129707;0.043933054;0.041841004;0.066945607;0.062761506;0.089958159;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
18;Anopheles sinensis;Vietnam;HBO;Khe Ngang;NA;0.037037037;0.044283414;0.044283414;0.077294686;0.136876006;0.112721417;0.096618357;0.096618357;0.096618357;0.128824477;0.088566828;0.040257649;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
20;Anopheles aconitus;Vietnam;HBO;pooled;NA;0;0.076923077;0.115384615;0.153846154;0.269230769;0.076923077;0.076923077;0.076923077;0.115384615;0.038461538;0;0;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
24;Anopheles sinensis;Vietnam;HBO;pooled;NA;0.066666667;0.083333333;0.033333333;0.066666667;0.15;0.083333333;0.133333333;0.15;0.083333333;0.083333333;0.016666667;0.05;NA;;6609;20846447;"Manh CD, Beebe NW, Van VN, Quang TL, Lein CT, Nguyen DV, et al. Vectors and malaria transmission in deforested, rural communities in north-central Vietnam. Malar J. 2010;9:259."
37;Anopheles epiroticus;Thailand;HBO;Chang Island;NA;0.082706767;0.069548872;0.075657895;0.130169173;0.101503759;0.076597744;0.075657895;0.11137218;0.074718045;0.066729323;0.090225564;0.045112782;NA;;9024;25424266;"Ritthison W, Tainchum K, Manguin S, Bangs MJ, Chareonviriyaphap T. Biting patterns and host preference of Anopheles epiroticus in Chang Island, Trat Province, eastern Thailand. J Vector Ecol. 2014;39(2):361-71."
39;Anopheles culicifacies;India;HBO;Dungaria;NA;0;0.224089636;0.018207283;0.018207283;0.072829132;0.112044818;0.074229692;0.128851541;0.149859944;0.128851541;0.056022409;0.016806723;NA;summer;9025;10480116;"Singh N, Mishra AK, Chand SK, Sharma VP. Population dynamics of Anopheles culicifacies and malaria in the tribal area of central India. J Am Mosq Control Assoc. 1999;15(3):283-90."
41;Anopheles culicifacies;India;HBO;Dungaria;NA;0.117775354;0.059432933;0.117230098;0.059432933;0.059432933;0.174482007;0.059432933;0.059432933;0.059432933;0.174482007;0;0.059432933;NA;monsoon;9025;10480116;"Singh N, Mishra AK, Chand SK, Sharma VP. Population dynamics of Anopheles culicifacies and malaria in the tribal area of central India. J Am Mosq Control Assoc. 1999;15(3):283-90."
43;Anopheles albimanus;Haiti;HBO;Dame Marie ;NA;0.075075075;0.105105105;0.111111111;0.099099099;0.108108108;0.096096096;0.039039039;0.042042042;0.027027027;0.045045045;0.108108108;0.069069069;0.075075075;;9026;NA;Briet, Impoinvil et al submitted
45;Anopheles albimanus;Haiti;HBO;Laborde;NA;0.015957447;0.037234043;0.026595745;0.031914894;0.031914894;0.063829787;0.074468085;0.132978723;0.154255319;0.138297872;0.117021277;0.106382979;0.069148936;;9019;9846229;"Molez JF, Desenfant P, Jacques JR. Bio-ecology of Anopheles albimanus Wiedeman, 1820 (Diptera : Culicidae) in Haiti (Hispaniola). Bulletin de la Societe de Pathologie Exotique. 1998;91(4):334-9."
47;Anopheles albimanus;Haiti;HBO;Bellevue;0.020747364;0.030032095;0.046423659;0.064419991;0.132164145;0.11302155;0.13480055;0.117835855;0.12826685;0.082416323;0.068775791;0.045850527;0.0152453;NA;;9027;NA;"Desenfant P. Rôle et bioécologie de A. albimanus (Wiedemann, 1820) vecteur du paludisme en Haiti: Université de Paris-Sud; 1988."
49;Anopheles albimanus;Haiti;HBO;EM48;0.011724138;0.032758621;0.064482759;0.063793103;0.142931034;0.114137931;0.145689655;0.129827586;0.117931034;0.069827586;0.063448276;0.039310345;0.004137931;NA;;9027;NA;"Desenfant P. Rôle et bioécologie de A. albimanus (Wiedemann, 1820) vecteur du paludisme en Haiti: Université de Paris-Sud; 1988."
51;Anopheles albimanus;Haiti;HBO;Laborde;0.007782101;0.042801556;0.087548638;0.071984436;0.118677043;0.095330739;0.112840467;0.13229572;0.114785992;0.091439689;0.060311284;0.060311284;0.003891051;NA;;9027;NA;"Desenfant P. Rôle et bioécologie de A. albimanus (Wiedemann, 1820) vecteur du paludisme en Haiti: Université de Paris-Sud; 1988."
