source_id,country,site,species,variable,value,pubmed_id,reference,
2048,PNG,Wosera,Anopheles koliensis,proportion_indoor_biting,0.49,9103763,"Hii JL, Smith T, Mai A, Mellor S, Lewis D, Alexander N, et al. Spatial and temporal variation in abundance of Anopheles (Diptera:Culicidae) in a malaria endemic area in Papua New Guinea. J Med Entomol. 1997",
2048,PNG,Wosera,Anopheles punctulatus,proportion_indoor_biting,0.47,9103763,"Hii JL, Smith T, Mai A, Mellor S, Lewis D, Alexander N, et al. Spatial and temporal variation in abundance of Anopheles (Diptera:Culicidae) in a malaria endemic area in Papua New Guinea. J Med Entomol. 1997",
2125,PNG,Madang,Anopheles farauti,Chi,0.71,2979548,"Charlwood, J.D. and Graves, P.M. (1987).  The effect of permethrin-impregnated bednets on a population of Anopheles farauti in coastal Papua New Guinea. Medical and Veterinary Entomology, 1(3):319-27",
2125,PNG,Madang,Anopheles koliensis,Chi,0.83,2979548,"Charlwood, J.D. and Graves, P.M. (1987).  The effect of permethrin-impregnated bednets on a population of Anopheles farauti in coastal Papua New Guinea. Medical and Veterinary Entomology, 1(3):319-27",
2125,PNG,Madang,Anopheles farauti,M,0.65,2979548,"Charlwood, J.D. and Graves, P.M. (1987).  The effect of permethrin-impregnated bednets on a population of Anopheles farauti in coastal Papua New Guinea. Medical and Veterinary Entomology, 1(3):319-27",
2125,PNG,Madang,Anopheles farauti,M,0.7,2979548,"Charlwood, J.D. and Graves, P.M. (1987).  The effect of permethrin-impregnated bednets on a population of Anopheles farauti in coastal Papua New Guinea. Medical and Veterinary Entomology, 1(3):319-27",
2129,Malaysia,,Anopheles maculatus,gonotrophic_cycle,2.35,1687932,"Chiang GL, Loong KP, Chan ST, Eng KL, Yap HH. Capture-recapture studies with Anopheles maculatus Theobald (Diptera: Culicidae) the vector of malaria in peninsular Malaysia. Southeast Asian J Trop Med Public Health. 1991	22(4):643-7.",
2129,Malaysia,,Anopheles flavirostris,M,0.43,1687932,"Chiang GL, Loong KP, Chan ST, Eng KL, Yap HH. Capture-recapture studies with Anopheles maculatus Theobald (Diptera: Culicidae) the vector of malaria in peninsular Malaysia. Southeast Asian J Trop Med Public Health. 1991	22(4):643-7.",
2158,Philippines,Napsan,Anopheles balabacensis,Chi,0.274,7903482,"Schultz GW. A survey of the mosquitos (Diptera: Culicidae) of Napsan, Palawan, Republic of the Philippines. . Southeast Asian J Trop Med Public Health. 1993	24(2):376-83.",
2158,Philippines,Napsan,Anopheles flavirostris,Chi,0.135,7903482,"Schultz GW. A survey of the mosquitos (Diptera: Culicidae) of Napsan, Palawan, Republic of the Philippines. . Southeast Asian J Trop Med Public Health. 1993	24(2):376-83.",
2158,Philippines,Napsan,Anopheles maculatus,Chi,0.00418,7903482,"Schultz GW. A survey of the mosquitos (Diptera: Culicidae) of Napsan, Palawan, Republic of the Philippines. . Southeast Asian J Trop Med Public Health. 1993	24(2):376-83.",
2408,Vietnam,Khoi,Anopheles aconitus,indoor_resting_by_all_biting,0,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Lang Nhot,Anopheles aconitus,indoor_resting_by_all_biting,0,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Village 4,Anopheles aconitus,indoor_resting_by_all_biting,0,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Cha Ong Chan,Anopheles aconitus,indoor_resting_by_all_biting,0,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Na Ang,Anopheles aconitus,indoor_resting_by_all_biting,0.03,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,,Anopheles barbirostris,indoor_resting_by_all_biting,0,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Van Duc A,Anopheles campestris,indoor_resting_by_all_biting,0,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Lang Nhot,Anopheles dirus,indoor_resting_by_all_biting,0.02,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Village 5,Anopheles dirus,indoor_resting_by_all_biting,0,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Cha Ong Chan,Anopheles dirus,indoor_resting_by_all_biting,0,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Na Ang,Anopheles dirus,indoor_resting_by_all_biting,0,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Khoi,Anopheles maculatus,indoor_resting_by_all_biting,0.02,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Lang Nhot,Anopheles maculatus,indoor_resting_by_all_biting,0.004,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Village 6,Anopheles maculatus,indoor_resting_by_all_biting,0,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Cha Ong Chan,Anopheles maculatus,indoor_resting_by_all_biting,0,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Na Ang,Anopheles maculatus,indoor_resting_by_all_biting,0,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Khoi,Anopheles minimus,indoor_resting_by_all_biting,0.67,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Lang Nhot,Anopheles minimus,indoor_resting_by_all_biting,0.08,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Village 7,Anopheles minimus,indoor_resting_by_all_biting,0,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Cha Ong Chan,Anopheles minimus,indoor_resting_by_all_biting,0,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Na Ang,Anopheles minimus,indoor_resting_by_all_biting,0.04,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Khoi,Anopheles minimus C,indoor_resting_by_all_biting,0.15,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Van Duc A,Anopheles nimpe,indoor_resting_by_all_biting,0.03,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Van Duc A,Anopheles sinensis,indoor_resting_by_all_biting,0.03,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Van Duc A,Anopheles subpictus,indoor_resting_by_all_biting,0.15,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Van Duc A,Anopheles sundaicus,indoor_resting_by_all_biting,0.1,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Lang Nhot,Anopheles aconitus,proportion_indoor_biting,0.115,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Khoi,Anopheles aconitus,proportion_indoor_biting,0.167,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Village 3,Anopheles aconitus,proportion_indoor_biting,0.174,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Cha Ong Chan,Anopheles aconitus,proportion_indoor_biting,0.254,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Na Ang,Anopheles aconitus,proportion_indoor_biting,0.448,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Khoi,Anopheles annularis,proportion_indoor_biting,0.048,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Na Ang,Anopheles barbirostris,proportion_indoor_biting,0.115,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Cha Ong Chan,Anopheles barbirostris,proportion_indoor_biting,0.123,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Village 3,Anopheles barbirostris,proportion_indoor_biting,0.248,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Van Duc A,Anopheles barbirostris,proportion_indoor_biting,0.512,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Lang Nhot,Anopheles crawfordi,proportion_indoor_biting,0.296,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Village 3,Anopheles dirus,proportion_indoor_biting,0.242,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Na Ang,Anopheles dirus,proportion_indoor_biting,0.5,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
2408,Vietnam,Lang Nhot,Anopheles dirus,proportion_indoor_biting,0.565,15730510,"Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., BriÙt, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62",
